Interval Start,Interval End,Rank
52.96,59.62,6
30.98,38.1,3
38.1,47.5,3
47.5,52.96,3
0.0,13.84,3
13.84,23.12,3
23.12,30.98,3
0.0,8.64,2
38.22,40.26,2
40.26,45.46,2
44.32,53.08,2
0.0,30.98,1
8.64,18.54,1
18.54,32.76,1
32.76,38.22,1
45.46,59.62,1
30.98,50.42,1
50.42,53.08,1
8.64,29.46,1
29.46,33.28,1
33.28,38.1,1
0.0,5.2,1
5.2,30.98,1
30.98,45.46,1
