Interval Start,Interval End,Rank
46.74,57.92,7
57.92,59.32,7
0.0,10.16,6
10.16,28.96,6
28.96,46.74,4
28.96,35.82,2
35.82,39.62,2
39.62,46.74,2
0.0,12.7,1
12.7,25.4,1
25.4,32.76,1
32.76,43.44,1
43.44,46.86,1
