Interval Start,Interval End,Rank
51.06,59.62,4
0.0,15.88,3
55.24,59.62,3
15.88,34.28,2
34.28,41.66,2
41.66,51.06,2
0.0,21.46,2
21.46,55.24,2
0.0,24.64,2
24.64,51.18,2
58.04,59.62,2
15.74,21.46,1
21.46,51.06,1
51.06,56.0,1
