(0.0; 10.42),18
(46.74; 57.66),12
(57.66; 59.34),12
(29.08; 46.74),9
(35.68; 39.62),9
(10.42; 29.08),9
(0.0; 5.96),9
(51.56; 55.5),9
(55.5; 59.32),9
(10.16; 16.12),6
(16.12; 22.6),6
(22.6; 28.96),6
(28.96; 35.68),6
(46.74; 58.42),6
(58.42; 59.34),6
(58.8; 59.34),6
(6.34; 19.18),6
(19.18; 32.76),6
(32.76; 42.92),6
(42.92; 51.56),6
(59.32; 59.34),6
(39.62; 46.6),3
(5.96; 10.16),3
(10.16; 13.58),3
(13.58; 16.12),3
(16.12; 19.42),3
(19.42; 22.6),3
(22.6; 26.28),3
(26.28; 28.82),3
(28.82; 32.64),3
(32.64; 36.06),3
(39.62; 43.44),3
(43.44; 46.86),3
(46.86; 51.3),3
(51.3; 53.46),3
(53.46; 55.5),3
(55.5; 58.04),3
(58.04; 58.8),3
(10.02; 28.44),3
(28.44; 46.74),3
(39.76; 47.12),3
(0.0; 6.48),3
(32.52; 43.56),3
(43.56; 51.82),3
(6.1; 32.64),3
